,lon,lat,date,rain
166,23.75,-28.75,06.01.82,0.393539071
167,21.25,-26.25,06.01.82,0.051901858
168,23.75,-26.25,06.01.82,0.090504915
169,21.25,-28.75,07.01.82,0.173202246
170,23.75,-28.75,07.01.82,0.690257311
171,21.25,-26.25,07.01.82,0.173808366
172,23.75,-26.25,07.01.82,0.301550061
173,21.25,-28.75,08.01.82,0.007149316
174,23.75,-28.75,08.01.82,0.005985592
175,21.25,-26.25,08.01.82,0.001989255
176,23.75,-26.25,08.01.82,9.24E-05
177,21.25,-28.75,09.01.82,0.100025259
178,23.75,-28.75,09.01.82,0.077753477
179,21.25,-26.25,09.01.82,0.062409803
180,23.75,-26.25,09.01.82,0.029274635
181,21.25,-28.75,10.01.82,0.802103877
182,23.75,-28.75,10.01.82,1.597680688
183,21.25,-26.25,10.01.82,1.46435082
184,23.75,-26.25,10.01.82,2.577665806
185,21.25,-28.75,11.01.82,0.090404451
186,23.75,-28.75,11.01.82,0.893338859
187,21.25,-26.25,11.01.82,0.401855409
188,23.75,-26.25,11.01.82,1.001220465
189,21.25,-28.75,12.01.82,0.927223861
190,23.75,-28.75,12.01.82,1.316156268
191,21.25,-26.25,12.01.82,0.775768757
192,23.75,-26.25,12.01.82,1.291091681
193,21.25,-28.75,01.01.83,0.427224845
194,23.75,-28.75,01.01.83,0.843606174
195,21.25,-26.25,01.01.83,1.559196353
196,23.75,-26.25,01.01.83,1.79052496
197,21.25,-28.75,02.01.83,0.092827678
198,23.75,-28.75,02.01.83,0.333791196
199,21.25,-26.25,02.01.83,0.064406812
200,23.75,-26.25,02.01.83,0.407043248
201,21.25,-28.75,03.01.83,0.439689934
202,23.75,-28.75,03.01.83,0.909434974
203,21.25,-26.25,03.01.83,0.952226222
204,23.75,-26.25,03.01.83,1.059989214
205,21.25,-28.75,04.01.83,0.420984268
206,23.75,-28.75,04.01.83,0.622378349
207,21.25,-26.25,04.01.83,0.395613015
208,23.75,-26.25,04.01.83,0.466286838
209,21.25,-28.75,05.01.83,0.449693054
210,23.75,-28.75,05.01.83,0.567536056
211,21.25,-26.25,05.01.83,0.529711723
212,23.75,-26.25,05.01.83,1.138650417
213,21.25,-28.75,06.01.83,0.491858721
214,23.75,-28.75,06.01.83,0.534598351
215,21.25,-26.25,06.01.83,0.241165265
216,23.75,-26.25,06.01.83,0.395907819
217,21.25,-28.75,07.01.83,0.013385704
218,23.75,-28.75,07.01.83,0.205638662
219,21.25,-26.25,07.01.83,0.017281957
220,23.75,-26.25,07.01.83,0.194593966
221,21.25,-28.75,08.01.83,0
222,23.75,-28.75,08.01.83,0.011594692
223,21.25,-26.25,08.01.83,0.003681139
224,23.75,-26.25,08.01.83,0.089072719
225,21.25,-28.75,09.01.83,0.23654753
226,23.75,-28.75,09.01.83,0.329510599
227,21.25,-26.25,09.01.83,0.051012117
228,23.75,-26.25,09.01.83,0.124615081
229,21.25,-28.75,10.01.83,0.319151998
230,23.75,-28.75,10.01.83,0.928511918
231,21.25,-26.25,10.01.83,0.436222225
232,23.75,-26.25,10.01.83,0.670957446
233,21.25,-28.75,11.01.83,1.512685776
234,23.75,-28.75,11.01.83,2.888216496
235,21.25,-26.25,11.01.83,1.52450943
236,23.75,-26.25,11.01.83,1.982433319
237,21.25,-28.75,12.01.83,1.117987633
238,23.75,-28.75,12.01.83,1.998509288
239,21.25,-26.25,12.01.83,2.398330212
240,23.75,-26.25,12.01.83,2.092585564
241,21.25,-28.75,01.01.84,0.078213491
242,23.75,-28.75,01.01.84,0.335518688
243,21.25,-26.25,01.01.84,0.330281258
244,23.75,-26.25,01.01.84,0.463288337
245,21.25,-28.75,02.01.84,0.17361258
246,23.75,-28.75,02.01.84,0.765692532
247,21.25,-26.25,02.01.84,0.309901595
248,23.75,-26.25,02.01.84,0.472381979
249,21.25,-28.75,03.01.84,0.975574017
250,23.75,-28.75,03.01.84,2.613121986
251,21.25,-26.25,03.01.84,1.18089211
252,23.75,-26.25,03.01.84,3.028108835
253,21.25,-28.75,04.01.84,0.823018312
254,23.75,-28.75,04.01.84,0.867878556
255,21.25,-26.25,04.01.84,1.560824275
256,23.75,-26.25,04.01.84,0.690629363
257,21.25,-28.75,05.01.84,0.311643004
258,23.75,-28.75,05.01.84,0.551877499
259,21.25,-26.25,05.01.84,0.516625106
260,23.75,-26.25,05.01.84,0.791270554
261,21.25,-28.75,06.01.84,0.50846678
262,23.75,-28.75,06.01.84,0.153898373
263,21.25,-26.25,06.01.84,0.024032647
264,23.75,-26.25,06.01.84,0.251974136
265,21.25,-28.75,07.01.84,0.001708974
266,23.75,-28.75,07.01.84,0.006496769
267,21.25,-26.25,07.01.84,0.004235442
268,23.75,-26.25,07.01.84,0.011116955
269,21.25,-28.75,08.01.84,0.102506168
270,23.75,-28.75,08.01.84,0.546418428
271,21.25,-26.25,08.01.84,0.005420447
272,23.75,-26.25,08.01.84,0.094342783
273,21.25,-28.75,09.01.84,0.003665546
274,23.75,-28.75,09.01.84,0.096878022
275,21.25,-26.25,09.01.84,0.00211812
276,23.75,-26.25,09.01.84,0.138909653
277,21.25,-28.75,10.01.84,0.296437711
278,23.75,-28.75,10.01.84,2.079666376
279,21.25,-26.25,10.01.84,0.763768315
280,23.75,-26.25,10.01.84,1.387465954
281,21.25,-28.75,11.01.84,0.231164604
282,23.75,-28.75,11.01.84,1.089365363
283,21.25,-26.25,11.01.84,0.679222465
284,23.75,-26.25,11.01.84,1.253821135
285,21.25,-28.75,12.01.84,0.029178187
286,23.75,-28.75,12.01.84,0.268208206
287,21.25,-26.25,12.01.84,0.098469041
288,23.75,-26.25,12.01.84,0.778307557
289,21.25,-28.75,01.01.85,0.798244059
290,23.75,-28.75,01.01.85,1.083012342
291,21.25,-26.25,01.01.85,1.469646931
292,23.75,-26.25,01.01.85,1.636101604
293,21.25,-28.75,02.01.85,1.135468245
294,23.75,-28.75,02.01.85,2.63445878
295,21.25,-26.25,02.01.85,1.404366016
296,23.75,-26.25,02.01.85,2.664490461
297,21.25,-28.75,03.01.85,0.783701479
298,23.75,-28.75,03.01.85,1.512705803
299,21.25,-26.25,03.01.85,0.560703278
300,23.75,-26.25,03.01.85,1.044554234
301,21.25,-28.75,04.01.85,0.252781361
302,23.75,-28.75,04.01.85,0.207888752
303,21.25,-26.25,04.01.85,0.123718739
304,23.75,-26.25,04.01.85,0.093743511
305,21.25,-28.75,05.01.85,0.076395586
306,23.75,-28.75,05.01.85,0.069047377
307,21.25,-26.25,05.01.85,0.04011108
308,23.75,-26.25,05.01.85,0.009075921
309,21.25,-28.75,06.01.85,0.016695831
310,23.75,-28.75,06.01.85,0.014020442
311,21.25,-26.25,06.01.85,0.006936282
312,23.75,-26.25,06.01.85,0.000997828
313,21.25,-28.75,07.01.85,0.002159607
314,23.75,-28.75,07.01.85,0.001500311
315,21.25,-26.25,07.01.85,0.001155477
316,23.75,-26.25,07.01.85,0.000587371
317,21.25,-28.75,08.01.85,0
318,23.75,-28.75,08.01.85,0.013466492
319,21.25,-26.25,08.01.85,0.001873564
320,23.75,-26.25,08.01.85,0.003655548
321,21.25,-28.75,09.01.85,0.170129031
322,23.75,-28.75,09.01.85,0.292101383
323,21.25,-26.25,09.01.85,0.069173396
324,23.75,-26.25,09.01.85,0.246266067
325,21.25,-28.75,10.01.85,0.685624838
326,23.75,-28.75,10.01.85,1.751441717
327,21.25,-26.25,10.01.85,0.535137057
328,23.75,-26.25,10.01.85,1.073583364
329,21.25,-28.75,11.01.85,1.23549521
330,23.75,-28.75,11.01.85,1.364126801
331,21.25,-26.25,11.01.85,0.396869153
332,23.75,-26.25,11.01.85,0.968328774
333,21.25,-28.75,12.01.85,1.398805976
334,23.75,-28.75,12.01.85,2.500823975
335,21.25,-26.25,12.01.85,1.143888593
336,23.75,-26.25,12.01.85,1.979369402
337,21.25,-28.75,01.01.86,0.49729073
338,23.75,-28.75,01.01.86,1.888765574
339,21.25,-26.25,01.01.86,0.910430074
340,23.75,-26.25,01.01.86,1.94296813
341,21.25,-28.75,02.01.86,0.367559195
342,23.75,-28.75,02.01.86,1.172367692
343,21.25,-26.25,02.01.86,1.459388971
344,23.75,-26.25,02.01.86,1.608867645
345,21.25,-28.75,03.01.86,0.485182852
346,23.75,-28.75,03.01.86,1.049352407
347,21.25,-26.25,03.01.86,0.407346189
348,23.75,-26.25,03.01.86,0.60114187
349,21.25,-28.75,04.01.86,0.452875495
350,23.75,-28.75,04.01.86,0.536468387
351,21.25,-26.25,04.01.86,0.996445119
352,23.75,-26.25,04.01.86,0.592915177
353,21.25,-28.75,05.01.86,0.04083069
354,23.75,-28.75,05.01.86,0.005244037
355,21.25,-26.25,05.01.86,0.016500046
356,23.75,-26.25,05.01.86,0.010927658
357,21.25,-28.75,06.01.86,0.434611827
358,23.75,-28.75,06.01.86,0.375203341
359,21.25,-26.25,06.01.86,0.31175369
360,23.75,-26.25,06.01.86,0.190107346
361,21.25,-28.75,07.01.86,0.03613665
362,23.75,-28.75,07.01.86,0.007750922
363,21.25,-26.25,07.01.86,0.044196989
364,23.75,-26.25,07.01.86,0.037902407
365,21.25,-28.75,08.01.86,0.021712836
366,23.75,-28.75,08.01.86,0.211938247
367,21.25,-26.25,08.01.86,0.004846182
368,23.75,-26.25,08.01.86,0.14242138
369,21.25,-28.75,09.01.86,0.152080745
370,23.75,-28.75,09.01.86,0.609049082
371,21.25,-26.25,09.01.86,0.37397033
372,23.75,-26.25,09.01.86,0.429233044
373,21.25,-28.75,10.01.86,0.416222453
374,23.75,-28.75,10.01.86,1.027077198
375,21.25,-26.25,10.01.86,1.278155804
376,23.75,-26.25,10.01.86,2.364631891
377,21.25,-28.75,11.01.86,0.466187805
378,23.75,-28.75,11.01.86,1.106395125
379,21.25,-26.25,11.01.86,1.857359886
380,23.75,-26.25,11.01.86,2.906321526
381,21.25,-28.75,12.01.86,0.03951633
382,23.75,-28.75,12.01.86,0.396982968
383,21.25,-26.25,12.01.86,0.267248809
384,23.75,-26.25,12.01.86,0.939710081
385,21.25,-28.75,01.01.87,0.017675677
386,23.75,-28.75,01.01.87,0.501461923
387,21.25,-26.25,01.01.87,0.130601525
388,23.75,-26.25,01.01.87,0.778241754
389,21.25,-28.75,02.01.87,0.712561488
390,23.75,-28.75,02.01.87,2.647380352
391,21.25,-26.25,02.01.87,1.929393291
392,23.75,-26.25,02.01.87,2.154667139
393,21.25,-28.75,03.01.87,0.370991141
394,23.75,-28.75,03.01.87,0.965557575
395,21.25,-26.25,03.01.87,0.670737863
396,23.75,-26.25,03.01.87,1.199543834
397,21.25,-28.75,04.01.87,0.573535621
398,23.75,-28.75,04.01.87,0.732112646
399,21.25,-26.25,04.01.87,0.616534889
400,23.75,-26.25,04.01.87,0.280999064
401,21.25,-28.75,05.01.87,0.142257065
402,23.75,-28.75,05.01.87,0.018608952
403,21.25,-26.25,05.01.87,0.015105949
404,23.75,-26.25,05.01.87,0.00482456
405,21.25,-28.75,06.01.87,0.029049261
406,23.75,-28.75,06.01.87,0.023248531
407,21.25,-26.25,06.01.87,0.002198545
408,23.75,-26.25,06.01.87,0.003894303
409,21.25,-28.75,07.01.87,0.263304949
410,23.75,-28.75,07.01.87,0.638424873
411,21.25,-26.25,07.01.87,0.111772701
412,23.75,-26.25,07.01.87,0.101203129
413,21.25,-28.75,08.01.87,0.006550862
414,23.75,-28.75,08.01.87,0.082637779
415,21.25,-26.25,08.01.87,0.003202835
416,23.75,-26.25,08.01.87,0.058091857
417,21.25,-28.75,09.01.87,0.683416724
418,23.75,-28.75,09.01.87,2.101869345
419,21.25,-26.25,09.01.87,0.826214671
420,23.75,-26.25,09.01.87,1.918594599
421,21.25,-28.75,10.01.87,0.250098348
422,23.75,-28.75,10.01.87,0.456481457
423,21.25,-26.25,10.01.87,0.409107149
424,23.75,-26.25,10.01.87,0.525742531
425,21.25,-28.75,11.01.87,0.805739105
426,23.75,-28.75,11.01.87,1.374513984
427,21.25,-26.25,11.01.87,1.506594181
428,23.75,-26.25,11.01.87,1.76028955
429,21.25,-28.75,12.01.87,0.269941121
430,23.75,-28.75,12.01.87,1.35290277
431,21.25,-26.25,12.01.87,1.166483283
432,23.75,-26.25,12.01.87,2.842680216
433,21.25,-28.75,01.01.88,0.201918274
434,23.75,-28.75,01.01.88,0.512151897
435,21.25,-26.25,01.01.88,1.357231855
436,23.75,-26.25,01.01.88,1.099222898
437,21.25,-28.75,02.01.88,2.773671389
438,23.75,-28.75,02.01.88,9.938160896
439,21.25,-26.25,02.01.88,3.658345222
440,23.75,-26.25,02.01.88,8.626410484
441,21.25,-28.75,03.01.88,2.431618452
442,23.75,-28.75,03.01.88,3.441332102
443,21.25,-26.25,03.01.88,2.577553749
444,23.75,-26.25,03.01.88,3.002473116
445,21.25,-28.75,04.01.88,1.30866456
446,23.75,-28.75,04.01.88,3.633388042
447,21.25,-26.25,04.01.88,2.239926815
448,23.75,-26.25,04.01.88,2.747909546
449,21.25,-28.75,05.01.88,0.119647138
450,23.75,-28.75,05.01.88,0.097401746
451,21.25,-26.25,05.01.88,0.060297947
452,23.75,-26.25,05.01.88,0.083611958
453,21.25,-28.75,06.01.88,0.015929438
454,23.75,-28.75,06.01.88,0.170890927
455,21.25,-26.25,06.01.88,0.004645147
456,23.75,-26.25,06.01.88,0.074407987
457,21.25,-28.75,07.01.88,0.004204658
458,23.75,-28.75,07.01.88,0.004558832
459,21.25,-26.25,07.01.88,0.003329392
460,23.75,-26.25,07.01.88,0.001566905
461,21.25,-28.75,08.01.88,0.163221642
462,23.75,-28.75,08.01.88,0.038913038
463,21.25,-26.25,08.01.88,0.012835471
464,23.75,-26.25,08.01.88,0.019412976
465,21.25,-28.75,09.01.88,0.466475904
466,23.75,-28.75,09.01.88,1.19046545
467,21.25,-26.25,09.01.88,0.250495076
468,23.75,-26.25,09.01.88,0.622405052
469,21.25,-28.75,10.01.88,0.271437377
470,23.75,-28.75,10.01.88,1.630308747
471,21.25,-26.25,10.01.88,0.527588129
472,23.75,-26.25,10.01.88,2.182077169
473,21.25,-28.75,11.01.88,0.670815825
474,23.75,-28.75,11.01.88,1.899878979
475,21.25,-26.25,11.01.88,0.87662977
476,23.75,-26.25,11.01.88,1.986593246
477,21.25,-28.75,12.01.88,1.913377643
478,23.75,-28.75,12.01.88,3.338360548
479,21.25,-26.25,12.01.88,1.997753501
480,23.75,-26.25,12.01.88,2.335989475
481,21.25,-28.75,01.01.89,1.313323021
482,23.75,-28.75,01.01.89,2.960429192
483,21.25,-26.25,01.01.89,2.183949947
484,23.75,-26.25,01.01.89,3.504501581
485,21.25,-28.75,02.01.89,2.847014189
486,23.75,-28.75,02.01.89,3.948700905
487,21.25,-26.25,02.01.89,3.431165934
488,23.75,-26.25,02.01.89,5.158231735
489,21.25,-28.75,03.01.89,0.435608894
490,23.75,-28.75,03.01.89,1.005910397
491,21.25,-26.25,03.01.89,0.760591865
492,23.75,-26.25,03.01.89,0.807478189
493,21.25,-28.75,04.01.89,1.571554661
494,23.75,-28.75,04.01.89,2.258878231
495,21.25,-26.25,04.01.89,1.665322781
496,23.75,-26.25,04.01.89,2.311723709
497,21.25,-28.75,05.01.89,0.198344931
498,23.75,-28.75,05.01.89,0.434576124
499,21.25,-26.25,05.01.89,0.158305258
500,23.75,-26.25,05.01.89,0.584023416
501,21.25,-28.75,06.01.89,0.010523012
502,23.75,-28.75,06.01.89,0.029464997
503,21.25,-26.25,06.01.89,0.019441709
504,23.75,-26.25,06.01.89,0.121725649
505,21.25,-28.75,07.01.89,0.054521624
506,23.75,-28.75,07.01.89,0.029726233
507,21.25,-26.25,07.01.89,0.005170512
508,23.75,-26.25,07.01.89,0.031993702
509,21.25,-28.75,08.01.89,0.008196805
510,23.75,-28.75,08.01.89,0.021977365
511,21.25,-26.25,08.01.89,0.008209495
512,23.75,-26.25,08.01.89,0.072879627
513,21.25,-28.75,09.01.89,0.13836965
514,23.75,-28.75,09.01.89,0.30854845
515,21.25,-26.25,09.01.89,0.037281163
516,23.75,-26.25,09.01.89,0.028343242
517,21.25,-28.75,10.01.89,0.019827727
518,23.75,-28.75,10.01.89,0.020713326
519,21.25,-26.25,10.01.89,0.053600065
520,23.75,-26.25,10.01.89,0.366826952
521,21.25,-28.75,11.01.89,0.491364211
522,23.75,-28.75,11.01.89,0.933531523
523,21.25,-26.25,11.01.89,0.344754398
524,23.75,-26.25,11.01.89,1.974865079
525,21.25,-28.75,12.01.89,0.086259656
526,23.75,-28.75,12.01.89,0.595752776
527,21.25,-26.25,12.01.89,0.36888954
528,23.75,-26.25,12.01.89,1.35491395
529,21.25,-28.75,01.01.90,0.456209451
530,23.75,-28.75,01.01.90,0.998680651
531,21.25,-26.25,01.01.90,0.887329817
532,23.75,-26.25,01.01.90,1.630512238
533,21.25,-28.75,02.01.90,1.654881835
534,23.75,-28.75,02.01.90,2.642026424
