date,rain,month,year,scen
16.11.12,138.20982,11,2012,RCP2.6
16.12.12,125.26199,12,2012,RCP2.6
16.01.13,177.14453,1,2013,RCP2.6
15.02.13,78.11612,2,2013,RCP2.6
16.03.13,83.407196,3,2013,RCP2.6
16.04.13,112.62266,4,2013,RCP2.6
16.05.13,81.4444,5,2013,RCP2.6
16.06.13,9.492236,6,2013,RCP2.6
16.07.13,13.242989,7,2013,RCP2.6
16.08.13,10.000983,8,2013,RCP2.6
16.09.13,22.909903,9,2013,RCP2.6
16.10.13,61.815903,10,2013,RCP2.6
16.11.13,96.95254,11,2013,RCP2.6
16.12.13,135.37225,12,2013,RCP2.6
16.01.14,141.19467,1,2014,RCP2.6
15.02.14,165.41602,2,2014,RCP2.6
16.03.14,136.62456,3,2014,RCP2.6
16.04.14,95.33188,4,2014,RCP2.6
16.05.14,25.773888,5,2014,RCP2.6
16.06.14,17.643612,6,2014,RCP2.6
16.07.14,38.666306,7,2014,RCP2.6
16.08.14,3.7547503,8,2014,RCP2.6
16.09.14,24.279667,9,2014,RCP2.6
16.10.14,42.492443,10,2014,RCP2.6
16.11.14,101.12196,11,2014,RCP2.6
16.12.14,114.733406,12,2014,RCP2.6
16.01.15,137.90845,1,2015,RCP2.6
15.02.15,118.76325,2,2015,RCP2.6
16.03.15,164.74702,3,2015,RCP2.6
16.04.15,114.19334,4,2015,RCP2.6
16.05.15,47.58724,5,2015,RCP2.6
16.06.15,36.301117,6,2015,RCP2.6
16.07.15,12.765101,7,2015,RCP2.6
16.08.15,13.700216,8,2015,RCP2.6
16.09.15,24.955372,9,2015,RCP2.6
16.10.15,46.15305,10,2015,RCP2.6
16.11.15,95.4024,11,2015,RCP2.6
16.12.15,126.006645,12,2015,RCP2.6
16.01.16,157.34412,1,2016,RCP2.6
15.02.16,161.24582,2,2016,RCP2.6
16.03.16,138.65504,3,2016,RCP2.6
16.04.16,59.3074,4,2016,RCP2.6
16.05.16,33.121765,5,2016,RCP2.6
16.06.16,28.29645,6,2016,RCP2.6
16.07.16,6.0774245,7,2016,RCP2.6
16.08.16,9.6176605,8,2016,RCP2.6
16.09.16,12.782019,9,2016,RCP2.6
16.10.16,61.878727,10,2016,RCP2.6
16.11.16,86.43564,11,2016,RCP2.6
16.12.16,118.62474,12,2016,RCP2.6
16.01.17,135.74728,1,2017,RCP2.6
15.02.17,156.55348,2,2017,RCP2.6
16.03.17,128.63068,3,2017,RCP2.6
16.04.17,116.22499,4,2017,RCP2.6
16.05.17,50.76519,5,2017,RCP2.6
16.06.17,9.849485,6,2017,RCP2.6
16.07.17,8.912111,7,2017,RCP2.6
16.08.17,8.053044,8,2017,RCP2.6
16.09.17,23.145613,9,2017,RCP2.6
